D:\dataset\IMG\center_2021_01_24_16_56_50_792.jpg, D:\dataset\IMG\left_2021_01_24_16_56_50_792.jpg, D:\dataset\IMG\right_2021_01_24_16_56_50_792.jpg, 0, 0, 0, 6.439383E-05
D:\dataset\IMG\center_2021_01_24_16_56_50_923.jpg, D:\dataset\IMG\left_2021_01_24_16_56_50_923.jpg, D:\dataset\IMG\right_2021_01_24_16_56_50_923.jpg, 0, 0, 0, 6.038869E-05
D:\dataset\IMG\center_2021_01_24_16_56_51_027.jpg, D:\dataset\IMG\left_2021_01_24_16_56_51_027.jpg, D:\dataset\IMG\right_2021_01_24_16_56_51_027.jpg, 0, 0, 0, 6.046589E-05
D:\dataset\IMG\center_2021_01_24_16_56_51_130.jpg, D:\dataset\IMG\left_2021_01_24_16_56_51_130.jpg, D:\dataset\IMG\right_2021_01_24_16_56_51_130.jpg, 0, 0, 0, 6.054295E-05
D:\dataset\IMG\center_2021_01_24_16_56_51_231.jpg, D:\dataset\IMG\left_2021_01_24_16_56_51_231.jpg, D:\dataset\IMG\right_2021_01_24_16_56_51_231.jpg, 0, 0, 0, 6.116542E-05
D:\dataset\IMG\center_2021_01_24_16_56_51_333.jpg, D:\dataset\IMG\left_2021_01_24_16_56_51_333.jpg, D:\dataset\IMG\right_2021_01_24_16_56_51_333.jpg, 0, 0, 0, 6.083921E-05
D:\dataset\IMG\center_2021_01_24_16_56_51_434.jpg, D:\dataset\IMG\left_2021_01_24_16_56_51_434.jpg, D:\dataset\IMG\right_2021_01_24_16_56_51_434.jpg, 0, 0, 0, 6.086709E-05
D:\dataset\IMG\center_2021_01_24_16_56_51_534.jpg, D:\dataset\IMG\left_2021_01_24_16_56_51_534.jpg, D:\dataset\IMG\right_2021_01_24_16_56_51_534.jpg, 0, 0, 0, 6.083294E-05
D:\dataset\IMG\center_2021_01_24_16_56_51_636.jpg, D:\dataset\IMG\left_2021_01_24_16_56_51_636.jpg, D:\dataset\IMG\right_2021_01_24_16_56_51_636.jpg, 0, 0, 0, 6.142409E-05
D:\dataset\IMG\center_2021_01_24_16_56_51_739.jpg, D:\dataset\IMG\left_2021_01_24_16_56_51_739.jpg, D:\dataset\IMG\right_2021_01_24_16_56_51_739.jpg, 0, 0, 0, 6.135576E-05
D:\dataset\IMG\center_2021_01_24_16_56_51_841.jpg, D:\dataset\IMG\left_2021_01_24_16_56_51_841.jpg, D:\dataset\IMG\right_2021_01_24_16_56_51_841.jpg, 0, 0.100752, 0, 0.0416319
